lon,lat
-63.33333,40.48232856562
-63.64855420515,40.48232856562
-65.05453539808,40.11360332325
-66.54781290588,40.03411354905
-66.7267400106,40.07644600478
-67.2807325202,40.9972610914
-67.48867129634,41.42667056464
-67.8736335882,41.91420560545
-67.6394775291,42.58398901998
-67.41387141034,42.90556432141
-67.15951238317,43.71054497018
-67.2278146083,44.3263579255
-66.94316753621,44.74938097644
-67.05,45.08
-66.47,45.06
-66.00,45.20
-65.53,45.35
-64.95,45.33
-64.49,45.33
-65.75,44.65
-66.35,44.27
-66.15,43.80
-65.62,43.47
-65.32,43.70
-64.60,44.10
-64.30,44.40
-63.92,44.49
-63.55,44.46
-63.33333,44.3329
-63.33333,43.60917
-63.33333,40.48232856562
