# Regional Coastline Multi-Polygon Boundaries for Scotian Shelf & Maritime Canada
# Format: Name, Code, followed by lon,lat coordinates

> Nova Scotia Mainland,nova_scotia_mainland
-64.25,45.75
-64.95,45.33
-64.49,45.33
-64.36,45.09
-65.75,44.65
-66.35,44.27
-66.05,44.30
-66.15,43.80
-65.98,43.70
-65.62,43.47
-65.32,43.70
-64.60,44.10
-64.30,44.40
-63.92,44.49
-63.55,44.46
-63.45,44.60
-63.00,44.72
-62.50,44.88
-61.98,45.00
-61.40,45.18
-60.98,45.33
-61.50,45.38
-61.40,45.60
-61.90,45.87
-62.25,45.65
-62.70,45.68
-63.13,45.79
-63.30,45.75
-63.67,45.85
-64.21,45.83
-64.25,45.75

> Cape Breton Island,cape_breton
-61.40,45.65
-61.53,45.98
-61.50,46.07
-61.12,46.43
-61.00,46.63
-60.80,46.83
-60.50,47.05
-60.42,47.03
-60.45,46.90
-60.40,46.65
-60.32,46.33
-60.20,46.20
-59.70,46.03
-59.80,45.92
-60.15,45.85
-60.50,45.75
-60.85,45.65
-61.00,45.55
-61.20,45.55
-61.40,45.65

> Prince Edward Island,prince_edward_island
-64.40,46.62
-63.99,47.05
-63.00,46.50
-61.97,46.45
-62.25,46.35
-62.46,46.00
-62.78,45.95
-63.49,46.20
-63.70,46.25
-63.85,46.38
-64.40,46.62

> New Brunswick & Continental Mainland,new_brunswick_mainland
-64.21,45.83
-64.35,45.75
-64.79,45.60
-65.53,45.35
-66.00,45.20
-66.47,45.06
-67.05,45.08
-67.00,44.88
-67.45,44.65
-68.50,44.30
-68.50,47.90
-65.50,47.90
-65.00,47.10
-64.85,46.68
-64.50,46.25
-64.10,46.00
-64.21,45.83

> Southern Newfoundland,newfoundland_south
-59.30,47.60
-59.30,48.00
-52.70,48.00
-52.70,47.55
-53.05,46.65
-53.40,46.70
-54.20,46.80
-55.20,47.10
-56.00,47.55
-57.60,47.61
-58.70,47.61
-59.13,47.57
-59.30,47.60

> Sable Island,sable_island
-60.15,43.93
-59.90,43.95
-59.70,43.96
-59.90,43.91
-60.15,43.93
